in-app path,Delete app acccount,Manage App Data,login method,in-app,web link resource,Remark 1,,,
Walmart: Shopping & Savings,https://identity.walmart.com/account/login?client_id=5f3fb121-076a-45f6-9587-249f0bc160ff&code_challenge=0DP5_c2-aYbP1hZie5yfP4ahwxd2DllAuL9NiVY0gew&redirect_uri=https%3A%2F%2Fwww.walmart.com%2Faccount%2FverifyToken&scope=openid+email+offline_access&tenant_id=elh9ie&state=%2Faccount%2Fdelete-account-mobile-app,,,TRUE,FALSE,"This link can jump to app directly.
In-app: there is request to delete account
website: tech issue",,,
DramaBox - Stream Drama Shorts,https://info.dramaboxdb.com/other/logout/dramabox.html,,"facebook, google",FALSE,TRUE,,,,
Instabridge: WiFi Map,https://instabridge.com/account-deletion/,,,FALSE,FALSE,send email,,,
ESPN,https://login.myid.disney.com/login?resume=/idp/iesSL/resumeSAML20/idp/startSSO.ping&spentity=https://disneysupport.zendesk.com/agent,,,FALSE,FALSE,"wrong website

singup ESPN: clemsonscrtlb@gmail.com 
The link is seems whole Disney, cannot login with ESPN account",,,
Messnger,https://m.facebook.com/login.php?next=https%3A%2F%2Faccountscenter.facebook.com%2Fpersonal_info%2Faccount_ownership_and_control%2Fdeletion_and_deactivation%2F&refsrc=deprecated,,mobile number or email,FALSE,TRUE,,,,
SHEIN - Shopping Online,https://m.shein.com/us/user/login?redirection=%2Fus%2Fuser%2Fdeactivate%2Findex%3Ftype%3Dgoogleplay%26ref%3Dwww%26rep%3Ddir%26ret%3Dmus,,"google, email, facebook, phone number",FALSE,FALSE,"input account to delete directly
(cannot delete)",,,
Pluto TV: Watch Free Movies/TV,https://pluto.tv/us/account/sign-in,,,FALSE,TRUE,"Link only mention website, but it can delete account from in-app path.
web: input pswd",,,
"Max: Stream HBO, TV, & Movies",https://privacyportal.onetrust.com/webform/1b21e05d-c206-4e0b-970e-2d73a23e42e8/443f4b17-34f2-4c46-8da4-f3d7cbf3b5cb,,,FALSE,TRUE,,,,
Indeed Job Search,https://requests.hrtechprivacy.com/create?entity=INDEED,,,FALSE,TRUE,,,"Data request confirmed
Your request has been confirmed. You should receive an email or text message when the exercise begins. If you have any questions, please reach out to us at contactus@hrtechprivacy.com.",
"Discord - Talk, Play, Hang Out",https://support.discord.com/hc/zh-tw/articles/212500837-%E5%A6%82%E4%BD%95%E6%B0%B8%E4%B9%85%E5%88%AA%E9%99%A4%E6%88%91%E7%9A%84%E5%B8%B3%E6%88%B6,,phone emial,TRUE,TRUE,"delete directly, no need to confirm
Your account has been deactivated and will be permanently deleted 
after 14 days.",,,
Amazon Shopping,https://www.amazon.com/gp/help/customer/display.html?nodeId=GDK92DNLSGWTV6MP,,,FALSE,TRUE,"it has in-app path but document didn't mention
login and delete","Your Request To Close Your Amazon Account Has Been Confirmed.
Your request to close your Amazon account and delete your data has been confirmed. We will separately communicate with you if there are any actions required of you before we can close your account. If no actions are required, your request will be processed automatically.",,
CapCut - Video Editor,https://www.capcut.com/account-center/login,,"tiktok, google, phone, email, facebook",FALSE,FALSE,"didn't provide useful info. Need to login and find by myself.
can be found capcut account -> security
canbe restore within 30 days
test after 11.28",,,
Gauth: AI Study Companion,https://www.gauthmath.com/extension-login?from=https%3A%2F%2Fwww.gauthmath.com%2Faccount-delete,,google/facebook,FALSE,TRUE,"it provide weblink and you can login to delete, 
but it shows you cannot ""logout"" via h5 page
but I can delete from PC

test after 30 days",,,
"Scoopz: Real Life, Real Video",https://www.localaiapp.com/#contact,,,FALSE,FALSE,link didn't provide info,,,
Temu,https://www.temu.com/login.html?from=https%3A%2F%2Fwww.temu.com%2Fbgp_close_account.html&login_scene=5&refer_page_name=bgp_close_account&refer_page_id=10081_1728336082965_8bcnxyi93t&refer_page_sn=10081&_x_sessn_id=cp5jajxeaj,,"phone/email/username,facebook, google, twitter",FALSE,TRUE,"1. sign in 2. delete directly
delete within 7days
login 10.28, remember test 11.3
clemsonscrtlb@gmail.com

can find in-app path but doc didn't mentioned",,"can still login
When your account has been deleted, we'll send you an email to let you know. - no email",
TextNow: Call + Text Unlimited,https://www.textnow.com/login?redirectTo=%2Faccount%2Fnew%23requestDataDeletionDisclosure,,"facebook,email,google",FALSE,TRUE,"login -> choose request -> delete
test after 7 days

already deleted",,,
Tiktok,https://www.tiktok.com/setting,,"phone/email/username,facebook, google, twitter",FALSE,FALSE,cannot open and cannot login,,,
Google Massages,,,,FALSE,FALSE,diff from web,,,
AR tracer: Trace Drawing,,,,FALSE,FALSE,,,,
PDF reader - PDF Viewer,,,,FALSE,FALSE,diff from web,,,
QR & Barcode Scanner (Gamma Play),,,,FALSE,FALSE,,,,
QR & Barcode Scanner Plus(health applines),,,,FALSE,FALSE,,,,
Messages,,,,FALSE,FALSE,,,,
Beat Maker Pro - DJ Drum Pad,,,,FALSE,FALSE,,,,
Remote Control for TV - All TV,,,,FALSE,FALSE,,,,
"All Video Downloader & Player
",,,,FALSE,FALSE,diff from web,,,
PDF reader - PDF Viewer,,,,FALSE,FALSE,diff from web,,,
